date_mutation,valeur_fonciere,code_postal,section,type_local,surface_relle_bati,nombre_pieces_principales,surface_terrain
2014/7/9,538500,33000,ME,Maison,120,4,223
2014/8/22,369500,33000,OY,Maison,89,4,126
2014/8/28,320000,33000,PA,Appartement,145,4,
2014/1/16,184000,33000,HN,Appartement,52,2,
2014/2/3,158000,33000,HN,Appartement,50,2,
2014/2/26,250000,33000,HE,Appartement,99,2,
2014/3/24,147500,33000,HN,Appartement,48,2,
2014/4/16,182000,33000,HN,Appartement,51,2,
2014/7/7,137000,33000,HN,Appartement,69,3,
2014/7/25,393630,33000,DR,Appartement,115,4,
2014/8/1,158220,33000,DC,Appartement,42,2,
2014/8/28,262000,33000,HE,Appartement,99,2,
2014/11/21,162000,33000,HN,Appartement,51,2,
2015/2/6,490000,33000,KT,Appartement,118,5,
2015/1/23,460000,33000,KT,Appartement,109,3,
2015/5/12,385000,33000,KN,Appartement,81,3,
2015/5/20,122000,33000,PE,Appartement,34,1,
2015/6/19,410000,33000,KT,Appartement,94,2,
2015/10/20,355000,33000,KT,Appartement,95,3,
2015/3/23,144000,33000,HN,Appartement,52,2,
2015/3/11,170000,33000,HN,Appartement,50,2,
2015/4/15,335000,33000,HN,Appartement,109,5,
2015/6/16,240000,33000,HN,Appartement,70,3,
2015/7/2,170000,33000,HN,Appartement,52,2,
2015/8/10,223000,33000,HE,Appartement,85,2,
2015/9/29,284500,33000,EV,Maison,75,4,46
2015/10/12,176500,33000,HN,Appartement,46,2,
2015/12/3,230000,33000,HN,Appartement,68,3,
2016/2/25,318000,33000,KT,Appartement,69,3,
2016/3/25,500000,33000,KT,Appartement,98,3,
2016/4/29,340000,33000,LE,Appartement,102,3,
2016/4/27,357000,33000,KT,Appartement,113,4,
2016/7/20,1035000,33000,OV,Appartement,90,3,223
2016/7/20,1035000,33000,OV,Appartement,94,2,223
2016/11/21,445000,33000,KN,Appartement,81,3,
2016/4/20,138500,33000,HN,Appartement,48,2,
2016/4/25,164500,33000,HN,Appartement,51,2,
2016/6/9,157000,33000,HN,Appartement,50,2,
2016/6/14,235000,33000,HN,Appartement,66,3,
2016/7/22,285000,33000,HN,Appartement,93,4,
2016/7/13,160000,33000,HN,Appartement,49,2,
2016/7/22,320000,33000,DW,Maison,69,4,113
